epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,24.8134,0.52465,0.71688,0.8007,0.99739,1,0.995,0.8689,0.55721,0.58213,0.77806,0.0011684,0.0011684,0.0011684
44,25.3759,0.57159,0.70963,0.80473,0.99825,1,0.995,0.91445,0.48703,0.56718,0.76791,0.0011486,0.0011486,0.0011486
45,25.9481,0.54504,0.69746,0.80677,0.99722,1,0.995,0.89838,0.45783,0.5198,0.76587,0.0011288,0.0011288,0.0011288
46,26.5135,0.52169,0.68203,0.79105,0.99698,1,0.995,0.88519,0.53329,0.49329,0.76892,0.001109,0.001109,0.001109
47,27.0768,0.5826,0.68698,0.8152,0.99755,1,0.995,0.88325,0.50476,0.46777,0.76826,0.0010892,0.0010892,0.0010892
48,27.6427,0.54507,0.66484,0.77777,0.9978,1,0.995,0.90252,0.48997,0.44546,0.76729,0.0010694,0.0010694,0.0010694
49,28.2053,0.53953,0.71437,0.75533,0.99761,1,0.995,0.89553,0.47562,0.47861,0.76379,0.0010496,0.0010496,0.0010496
50,28.7705,0.59251,0.80033,0.79013,0.99557,1,0.995,0.87653,0.50049,0.51833,0.76865,0.0010298,0.0010298,0.0010298
51,29.3401,0.58565,0.71741,0.7684,0.99807,1,0.995,0.86624,0.54728,0.464,0.77373,0.00101,0.00101,0.00101
52,29.9016,0.55444,0.6682,0.80404,0.99807,1,0.995,0.86365,0.51072,0.44003,0.77323,0.0009902,0.0009902,0.0009902
53,30.4668,0.53543,0.65331,0.78129,0.99815,1,0.995,0.88265,0.5065,0.43547,0.77113,0.0009704,0.0009704,0.0009704
54,31.0322,0.59368,0.63496,0.80268,0.998,1,0.995,0.88623,0.48108,0.41965,0.76796,0.0009506,0.0009506,0.0009506
55,31.5935,0.54146,0.63967,0.7981,0.99796,1,0.995,0.88832,0.48695,0.4295,0.76825,0.0009308,0.0009308,0.0009308
56,32.1542,0.56487,0.69491,0.75993,0.99818,1,0.995,0.90691,0.46874,0.42829,0.76566,0.000911,0.000911,0.000911
57,32.7155,0.44969,0.63437,0.75262,0.9984,1,0.995,0.91035,0.43728,0.42782,0.76171,0.0008912,0.0008912,0.0008912
58,33.271,0.4937,0.71652,0.81521,0.99842,1,0.995,0.90734,0.43123,0.41997,0.76221,0.0008714,0.0008714,0.0008714
59,33.829,0.47927,0.6181,0.78788,0.99815,1,0.995,0.91336,0.44857,0.4198,0.76167,0.0008516,0.0008516,0.0008516
60,34.3897,0.591,0.62762,0.77356,0.99825,1,0.995,0.9048,0.43731,0.40497,0.76108,0.0008318,0.0008318,0.0008318
61,34.9508,0.58423,0.61353,0.78342,0.99828,1,0.995,0.91154,0.44472,0.40683,0.76221,0.000812,0.000812,0.000812
62,35.5108,0.45464,0.63404,0.80206,0.99825,1,0.995,0.89191,0.49344,0.43424,0.76591,0.0007922,0.0007922,0.0007922
63,36.0721,0.59573,0.57846,0.81116,0.99822,1,0.995,0.89958,0.50361,0.44433,0.76811,0.0007724,0.0007724,0.0007724
64,36.6339,0.5247,0.59233,0.80056,0.99837,1,0.995,0.90822,0.45534,0.42232,0.76658,0.0007526,0.0007526,0.0007526
65,37.1976,0.48519,0.57189,0.78794,0.99851,1,0.995,0.90119,0.42994,0.40189,0.7628,0.0007328,0.0007328,0.0007328
66,37.7594,0.541,0.59806,0.79461,0.99844,1,0.995,0.89441,0.42792,0.4028,0.76227,0.000713,0.000713,0.000713
67,38.3206,0.48008,0.66595,0.78618,0.99827,1,0.995,0.8824,0.45221,0.41208,0.76214,0.0006932,0.0006932,0.0006932
68,38.8836,0.49429,0.59178,0.78424,0.99785,1,0.995,0.91294,0.44135,0.41338,0.75938,0.0006734,0.0006734,0.0006734
69,39.45,0.48032,0.56437,0.77891,0.99749,1,0.995,0.90741,0.42887,0.39452,0.76024,0.0006536,0.0006536,0.0006536
70,40.0088,0.51286,0.5527,0.79515,0.99716,1,0.995,0.89521,0.44735,0.39141,0.76157,0.0006338,0.0006338,0.0006338
71,40.574,0.49807,0.5737,0.77124,0.99694,1,0.995,0.91655,0.46014,0.39448,0.76078,0.000614,0.000614,0.000614
72,41.1462,0.4664,0.57363,0.79827,0.99692,1,0.995,0.91052,0.44211,0.40068,0.75993,0.0005942,0.0005942,0.0005942
